Trial,Timestamp,Distance (cm),Ping Time (us),Delay,Arduino ID,Sensor ID,Range (cm),Sensor length (cm),Color of sensor,Angle on XY plane,side a (cm),side b (cm),side c (cm),Angle on YZ plane,Sensor Configuration,Sensor Angle,Surface material,Surface Length (cm),Surface Width (cm)
91,1248,5,323,16800 us,,,,,,,,,,,,,,,
92,1244,5,323,16800 us,,,,,,,,,,,,,,,
93,1248,5,331,16800 us,,,,,,,,,,,,,,,
94,1244,5,331,16800 us,,,,,,,,,,,,,,,
95,1248,5,331,16800 us,,,,,,,,,,,,,,,
96,1252,5,327,16800 us,,,,,,,,,,,,,,,
97,1248,5,331,16800 us,,,,,,,,,,,,,,,
98,1248,5,331,16800 us,,,,,,,,,,,,,,,
99,1252,5,323,16800 us,,,,,,,,,,,,,,,
100,1252,5,327,16800 us,,,,,,,,,,,,,,,
101,1244,5,327,16800 us,,,,,,,,,,,,,,,
102,1244,5,327,16800 us,,,,,,,,,,,,,,,
103,1244,5,327,16800 us,,,,,,,,,,,,,,,
104,1248,5,327,16800 us,,,,,,,,,,,,,,,
105,1252,5,323,16800 us,,,,,,,,,,,,,,,
106,1244,5,323,16800 us,,,,,,,,,,,,,,,
107,1244,5,327,16800 us,,,,,,,,,,,,,,,
108,1248,5,327,16800 us,,,,,,,,,,,,,,,
109,1252,5,331,16800 us,,,,,,,,,,,,,,,
110,1248,5,331,16800 us,,,,,,,,,,,,,,,
111,1252,5,323,16800 us,,,,,,,,,,,,,,,
112,1248,5,327,16800 us,,,,,,,,,,,,,,,
113,1248,5,327,16800 us,,,,,,,,,,,,,,,
114,1252,5,335,16800 us,,,,,,,,,,,,,,,
115,1244,5,323,16800 us,,,,,,,,,,,,,,,
116,1252,5,327,16800 us,,,,,,,,,,,,,,,
117,1252,5,331,16800 us,,,,,,,,,,,,,,,
118,1256,5,331,16800 us,,,,,,,,,,,,,,,
119,1244,5,323,16800 us,,,,,,,,,,,,,,,
120,1244,5,323,16800 us,,,,,,,,,,,,,,,
121,1244,5,323,16800 us,,,,,,,,,,,,,,,
122,1252,5,327,16800 us,,,,,,,,,,,,,,,
123,1244,5,327,16800 us,,,,,,,,,,,,,,,
124,1244,5,327,16800 us,,,,,,,,,,,,,,,
125,1244,5,323,16800 us,,,,,,,,,,,,,,,
126,1252,5,323,16800 us,,,,,,,,,,,,,,,
127,1248,5,323,16800 us,,,,,,,,,,,,,,,
128,1244,5,327,16800 us,,,,,,,,,,,,,,,
129,1244,5,323,16800 us,,,,,,,,,,,,,,,
130,1244,5,323,16800 us,,,,,,,,,,,,,,,
131,1256,5,327,16800 us,,,,,,,,,,,,,,,
132,1252,5,335,16800 us,,,,,,,,,,,,,,,
133,1244,5,327,16800 us,,,,,,,,,,,,,,,
134,1244,5,323,16800 us,,,,,,,,,,,,,,,
135,1252,5,323,16800 us,,,,,,,,,,,,,,,
136,1224,5,299,16800 us,,,,,,,,,,,,,,,
137,1248,5,331,16800 us,,,,,,,,,,,,,,,
