23_6000_mean_middle,23_16800_mean_middle,18_3000_mean_middle,18_16800_mean_middle,23_10000_mean_middle,13_6000_mean_middle,18_6000_mean_middle,13_3000_mean_middle,18_8000_mean_middle,13_10000_mean_middle,28_16800_mean_middle,18_10000_mean_middle,13_8000_mean_middle,53_8000_mean_middle,53_6000_mean_middle,53_10000_mean_middle,53_3000_mean_middle,33_16800_mean_middle,13_16800_mean_middle,53_16800_mean_middle,43_8000_mean_middle,18_6000_mean_upper,38_3000_mean_upper,38_8000_mean_middle,18_6000_mean_lower,28_8000_mean_upper,23_6000_mean_upper,13_10000_mean_upper,13_6000_mean_lower,13_6000_mean_upper,43_6000_mean_upper,28_6000_mean_upper,33_8000_mean_upper,33_3000_mean_upper,13_3000_mean_upper,18_3000_mean_upper,18_10000_mean_lower,13_8000_mean_upper,43_8000_mean_upper,18_10000_mean_upper,43_3000_mean_upper,28_10000_mean_upper,33_6000_mean_upper,18_8000_mean_upper,13_10000_mean_lower,28_16800_mean_lower,23_6000_mean_lower,33_10000_mean_upper,23_8000_mean_upper,38_8000_mean_upper,Sensor ID
1328.2,1302.076923076923,1069.24,1069.2857142857142,1303.0,827.0,1069.4,827.0,1069.6122448979593,827.0,1590.3846153846157,1071.0,827.0,2995.0,2995.2051282051284,2995.0,2995.0,1959.0,827.0,3006.5,2443.88,0.0,0.0,2248.12,0.0,1597.046511627907,0.0,827.0,826.36,827.0,0.0,1595.5333333333333,1959.8979591836733,1959.923076923077,827.0952380952381,0.0,1070.04,827.0909090909091,0.0,1071.0,0.0,1592.6190476190477,1960.0731707317077,1079.0,826.52,0.0,0.0,1960.021276595745,1354.2727272727273,0.0,1
1235.0,1247.56,967.2608695652174,954.2,1235.0,679.0,954.52,679.0,955.56,679.64,1522.92,943.0,679.0,1891.24,2951.0,2972.36,2945.8,1811.3636363636365,679.0,1855.878048780488,2381.16,0.0,2123.8,2117.72,0.0,1539.0,1235.9795918367347,0.0,678.9047619047619,679.6530612244898,2398.428571428572,0.0,1839.857142857143,1839.857142857143,679.8888888888889,975.0,942.1666666666666,679.0888888888888,0.0,944.0,2395.0,0.0,1839.8695652173917,0.0,0.0,0.0,1234.8947368421052,1839.842105263158,1235.8,0.0,2
1296.5111111111112,1296.6744186046512,1007.0,1020.92,1297.212765957447,717.24,1005.96,718.04,1006.0697674418604,717.88,1584.2444444444443,1029.9333333333334,718.04,2997.32,3000.44,2996.12,2995.4,1888.6,717.7272727272727,2992.84,2440.92,0.0,2185.8571428571427,2163.9166666666665,0.0,0.0,1321.0,0.0,0.0,0.0,0.0,1581.6666666666667,0.0,0.0,0.0,1008.6842105263158,1007.0,0.0,0.0,0.0,0.0,1587.0,0.0,1030.428571428571,0.0,1561.4,1287.0,0.0,1317.0,2187.0,3
1318.6521739130435,1319.0,1028.84,1031.0,1317.64,736.92,1087.0,737.16,1063.24,737.08,1628.469387755102,1030.3513513513512,736.68,2999.0,2999.0,2999.0,2999.0,1923.0,736.84,2999.608695652174,2486.404255319149,1105.909090909091,0.0,2224.04,1030.2,0.0,1368.3333333333333,0.0,0.0,0.0,0.0,1683.0,1971.6666666666667,1924.021276595745,0.0,0.0,1023.0,0.0,0.0,1104.3333333333333,0.0,0.0,1931.0,0.0,0.0,0.0,1311.0,1971.0,0.0,0.0,4
1332.92,1332.76,1047.2448979591836,1045.6976744186047,1333.48,743.0,1046.2888888888888,741.88,1047.24,743.0,1587.48,1046.1020408163265,743.0,2110.76,3034.76,3073.612244897959,3045.468085106383,1902.441860465116,742.8947368421053,3058.44,2471.0,0.0,0.0,2173.4,1022.2,0.0,0.0,743.6511627906976,742.6190476190476,743.695652173913,2473.4186046511627,0.0,1903.102564102564,1903.1818181818185,0.0,0.0,0.0,743.7272727272727,2471.4,1055.0,0.0,0.0,1903.7179487179487,0.0,742.3488372093024,0.0,0.0,1904.636363636364,0.0,2197.4,5
1279.0,1285.72,1033.2564102564102,1057.0408163265306,1289.24,0.0,1044.36,759.24,1032.3877551020407,750.76,1595.4,1032.9166666666667,748.2,3021.56,3034.555555555556,3018.44,3010.2820512820517,1896.6666666666667,759.72,3027.4,2471.88,0.0,2219.0,2191.425531914894,0.0,1587.571428571429,1283.7111111111112,0.0,0.0,152.12,0.0,1585.9473684210527,0.0,0.0,0.0,1057.1818181818182,0.0,0.0,0.0,1059.0,0.0,1589.7368421052631,1923.0,1055.0,0.0,0.0,1278.4736842105262,0.0,0.0,2217.6666666666665,6
1307.0,1318.28,1044.36,1042.8367346938776,1306.1,736.12,1044.44,737.0,1045.08,736.12,1580.36,1043.65306122449,735.56,3026.12,3027.470588235294,3030.36,2999.32,1895.32,734.4,2836.583333333333,2454.92,0.0,0.0,2181.96,0.0,1595.0,1308.8947368421052,0.0,0.0,0.0,0.0,1603.0,1911.3902439024391,1911.1,0.0,0.0,1035.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1305.8837209302326,0.0,0.0,0.0,7
1357.72,1349.8695652173913,1060.68,1068.5454545454545,1348.68,751.8888888888889,1045.095238095238,752.6585365853658,1045.32,752.4736842105264,1628.84,1045.32,753.0952380952381,3047.8,3035.0,3036.904761904762,3036.1,1918.52,777.046511627907,3036.428571428572,2490.2,1068.5,2197.6341463414637,2195.0,0.0,1642.5,0.0,776.6666666666666,0.0,779.0,2493.243902439024,1643.8,1929.6315789473683,0.0,776.3333333333334,0.0,0.0,777.0,2512.6,0.0,2515.6666666666665,0.0,1951.571428571429,0.0,0.0,0.0,0.0,0.0,1359.0,2203.4210526315787,8
1373.125,1441.8333333333333,1109.16,1107.9795918367347,1412.28,828.2,1108.28,827.0,1108.2,827.0,1611.0,1108.52,828.04,3054.5652173913045,3016.2,3056.583333333333,3029.4,1949.4,790.44,2757.488888888889,2484.818181818182,0.0,0.0,2213.612244897959,0.0,0.0,1441.6666666666667,827.5454545454545,0.0,0.0,2483.0,1612.090909090909,1947.25,1947.744186046512,827.8695652173913,0.0,0.0,0.0,0.0,0.0,0.0,1612.128205128205,1947.72,0.0,826.4545454545455,1610.4893617021276,1322.6666666666667,1947.5106382978724,0.0,0.0,9
1365.72,1368.84,1083.0,1074.44,1373.6938775510205,771.56,1081.4,771.9795918367347,1083.0,795.0,1628.2682926829268,1081.72,771.3333333333334,3075.0,3052.2,3075.0,3051.8,1934.2,779.8,3078.68,2516.6,0.0,0.0,2208.84,0.0,0.0,0.0,0.0,0.0,0.0,2520.777777777778,0.0,0.0,1943.355555555556,799.0,1083.5263157894738,0.0,797.0,0.0,0.0,0.0,1628.6,0.0,1084.142857142857,770.2,0.0,0.0,0.0,0.0,0.0,10
