Sensor ID,13_16800_mean_middle,18_16800_mean_middle,23_16800_mean_middle,28_16800_mean_middle,13_10000_mean_middle,18_10000_mean_middle,53_8000_mean_middle,13_6000_mean_middle,23_6000_mean_middle,53_6000_mean_middle,13_3000_mean_middle,18_3000_mean_middle,53_3000_mean_middle,13_16800_mean_lower,18_16800_mean_lower,23_16800_mean_lower,28_16800_mean_lower,33_16800_mean_lower,38_16800_mean_lower,43_16800_mean_lower,48_16800_mean_lower,53_16800_mean_lower,13_10000_mean_lower,18_10000_mean_lower,23_10000_mean_lower,28_10000_mean_lower,33_10000_mean_lower,38_10000_mean_lower,43_10000_mean_lower,48_10000_mean_lower,53_10000_mean_lower,13_8000_mean_lower,18_8000_mean_lower,23_8000_mean_lower,28_8000_mean_lower,33_8000_mean_lower,38_8000_mean_lower,43_8000_mean_lower,48_8000_mean_lower,53_8000_mean_lower,13_6000_mean_lower,18_6000_mean_lower,23_6000_mean_lower,28_6000_mean_lower,33_6000_mean_lower,38_6000_mean_lower,43_6000_mean_lower,48_6000_mean_lower,53_6000_mean_lower,13_3000_mean_lower,18_3000_mean_lower,23_3000_mean_lower,28_3000_mean_lower,33_3000_mean_lower,38_3000_mean_lower,43_3000_mean_lower,48_3000_mean_lower,53_3000_mean_lower,13_16800_mean_upper,18_16800_mean_upper,23_16800_mean_upper,28_16800_mean_upper,33_16800_mean_upper,38_16800_mean_upper,43_16800_mean_upper,48_16800_mean_upper,53_16800_mean_upper,13_10000_mean_upper,18_10000_mean_upper,23_10000_mean_upper,28_10000_mean_upper,33_10000_mean_upper,38_10000_mean_upper,43_10000_mean_upper,48_10000_mean_upper,53_10000_mean_upper,13_8000_mean_upper,18_8000_mean_upper,23_8000_mean_upper,28_8000_mean_upper,33_8000_mean_upper,38_8000_mean_upper,43_8000_mean_upper,48_8000_mean_upper,53_8000_mean_upper,13_6000_mean_upper,18_6000_mean_upper,23_6000_mean_upper,28_6000_mean_upper,33_6000_mean_upper,38_6000_mean_upper,43_6000_mean_upper,48_6000_mean_upper,53_6000_mean_upper,13_3000_mean_upper,18_3000_mean_upper,23_3000_mean_upper,28_3000_mean_upper,33_3000_mean_upper,38_3000_mean_upper,43_3000_mean_upper,48_3000_mean_upper,53_3000_mean_upper,18_16800_var_middle,13_10000_var_middle,18_10000_var_middle,23_10000_var_middle,28_10000_var_middle,33_10000_var_middle,38_10000_var_middle,43_10000_var_middle,48_10000_var_middle,53_10000_var_middle,13_8000_var_middle,18_8000_var_middle,23_8000_var_middle,28_8000_var_middle,33_8000_var_middle,38_8000_var_middle,43_8000_var_middle,48_8000_var_middle,53_8000_var_middle,13_6000_var_middle,18_6000_var_middle,23_6000_var_middle,28_6000_var_middle,33_6000_var_middle,38_6000_var_middle,43_6000_var_middle,53_6000_var_middle,53_3000_var_middle,13_16800_var_lower,18_16800_var_lower,23_16800_var_lower,33_16800_var_lower,38_16800_var_lower,43_16800_var_lower,53_16800_var_lower,13_10000_var_lower,18_10000_var_lower,23_10000_var_lower,28_10000_var_lower,38_10000_var_lower,43_10000_var_lower,48_10000_var_lower,53_10000_var_lower,13_8000_var_lower,23_8000_var_lower,28_8000_var_lower,33_8000_var_lower,48_8000_var_lower,53_8000_var_lower,13_6000_var_lower,18_6000_var_lower,23_6000_var_lower,28_6000_var_lower,33_6000_var_lower,38_6000_var_lower,48_6000_var_lower,13_3000_var_lower,18_3000_var_lower,28_3000_var_lower,33_3000_var_lower,38_3000_var_lower,43_3000_var_lower,48_3000_var_lower,13_16800_var_upper,33_16800_var_upper,38_16800_var_upper,13_10000_var_upper,18_10000_var_upper,23_10000_var_upper,28_10000_var_upper,33_10000_var_upper,38_10000_var_upper,43_10000_var_upper,48_10000_var_upper,53_10000_var_upper,13_8000_var_upper,18_8000_var_upper,23_8000_var_upper,28_8000_var_upper,33_8000_var_upper,38_8000_var_upper,43_8000_var_upper,48_8000_var_upper,53_8000_var_upper,13_6000_var_upper,18_6000_var_upper,28_6000_var_upper,33_6000_var_upper,38_6000_var_upper,43_6000_var_upper,48_6000_var_upper,53_6000_var_upper,13_3000_var_upper,18_3000_var_upper,23_3000_var_upper,28_3000_var_upper,33_3000_var_upper,38_3000_var_upper,43_3000_var_upper,53_3000_var_upper,delay_16800_freq_lower,delay_10000_freq_lower,delay_8000_freq_lower,delay_6000_freq_lower,delay_3000_freq_lower
1,827.0,1069.2857142857142,1302.076923076923,1590.3846153846157,827.0,1071.0,2995.0,827.0,1328.2,2995.2051282051284,827.0,1069.24,2995.0,826.1666666666666,1059.0,0.0,0.0,1958.2558139534883,0.0,0.0,2712.5,2835.0,826.52,1070.04,1301.974358974359,1590.2727272727273,1958.6923076923076,0.0,0.0,2715.0,2994.3636363636365,826.5102040816327,0.0,0.0,1590.3170731707316,1958.897435897436,0.0,0.0,0.0,2994.5789473684213,826.36,0.0,0.0,1590.5238095238096,1958.1,2243.8205128205127,0.0,0.0,0.0,826.3469387755102,0.0,0.0,0.0,1957.7317073170732,2154.0,0.0,2715.0,2994.5555555555557,827.1951219512196,0.0,1353.5454545454545,1639.7272727272727,1959.6666666666667,0.0,0.0,0.0,0.0,827.0,1071.0,1315.7,1592.6190476190477,1960.021276595745,0.0,0.0,2795.0,2995.5454545454545,827.0909090909091,1079.0,1354.2727272727273,1597.046511627907,1959.8979591836735,0.0,0.0,2800.3333333333335,3004.0434782608695,827.0,0.0,0.0,1595.5333333333333,1960.0731707317073,2248.0731707317073,0.0,2803.0,3039.7272727272725,827.0952380952381,0.0,0.0,0.0,1959.923076923077,0.0,0.0,2809.4,2995.4444444444443,5.333333333333737,0.0,0.0,0.0,0.0,0.0,4.0816326530612,4.41469387755122,7.716312056737734,0.0,0.0,3.700680272108921,4.5991902834010965,0.0,0.0,5.903673469388178,4.107755102040499,6.71970397779813,0.0,0.0,6.530612244897457,693.7142857142821,0.0,0.0,0.0,6.89632653061175,3.3252361673412376,0.0,3.3758865248226,0.0,0.0,2.480620155038673,0.0,0.0,0.0,1.724081632653062,4.2840816326530895,3.1309041835358498,2.4355179704017957,0.0,0.0,0.0,2.934460887949408,1.755102040816327,0.0,2.3219512195123553,0.4102564102564017,0.0,1.5476529160738108,2.194285714285653,0.0,0.0,1.7189314750289963,2.861538461538709,215.730094466935,0.0,2.2312925170067963,0.0,0.0,5.151219512195086,4.000000000000152,0.0,0.0,0.76097560975607,2.276422764227738,0.0,0.0,0.0,487.2923076923088,55.461091753775335,3.8038852913968815,0.0,0.0,0.0,1.9281183932347543,0.3636363636363537,0.0,2.618181818181758,248.66445182724232,2.843537414965977,0.0,0.0,165.33333333333394,362.9758454106293,0.0,0.0,181.5272727272732,4.0195121951219,3.2195121951219825,0.0,288.0,137.01818181818112,0.380952380952408,0.0,0.0,0.0,2.914979757085043,0.0,0.0,1.616161616161551,102,267,167,171,140
2,679.0,954.2,1247.56,1522.92,679.64,943.0,1891.24,679.0,1235.0,2951.0,679.0,967.2608695652174,2945.8,678.6,0.0,0.0,0.0,0.0,1929.6666666666667,2351.5,0.0,1551.0,0.0,942.1666666666666,1234.8222222222223,0.0,1837.857142857143,0.0,0.0,2666.5897435897436,0.0,678.5102040816327,0.0,1234.5121951219512,0.0,1838.219512195122,0.0,0.0,0.0,0.0,678.9047619047619,0.0,1234.8947368421052,0.0,1838.6,0.0,0.0,0.0,2950.3636363636365,678.5,943.0,1234.911111111111,0.0,1838.0243902439024,0.0,0.0,0.0,0.0,679.8695652173913,0.0,0.0,0.0,1835.6666666666667,0.0,2397.0,0.0,2371.0,0.0,944.0,1235.5,0.0,1839.842105263158,0.0,0.0,2669.521739130435,0.0,679.0888888888888,0.0,1235.8,1539.0,1839.857142857143,0.0,0.0,2691.0,0.0,679.6530612244898,0.0,1235.9795918367347,0.0,1839.8695652173913,0.0,2398.4285714285716,0.0,2951.7441860465115,679.8888888888889,975.0,1235.408163265306,0.0,1839.857142857143,2123.8,2395.0,0.0,0.0,189.38775510204016,5.459591836734799,0.0,0.0,9.933061224490098,0.0,106.94530612244871,182.3673469387718,0.0,6.928979591837138,0.0,151.51673469387794,0.0,7.374149659863971,0.0,122.40979591836827,147.72897959183712,4.324324324324168,1648407.7779591838,0.0,164.33632653061272,0.0,3.977142857142846,0.0,135.4710204081644,4.801771871539253,0.0,4.081632653060388,1.476923076923088,0.0,0.0,0.0,4229.333333333329,29.428571428571285,16480.000000000007,0.0,2.695035460992917,0.6949494949495031,0.0,0.0,0.0,1.5114709851553596,0.0,2.4217687074829573,1.7560975609756304,0.0,2.5756097560975295,0.0,0.0,0.3809523809524108,0.0,0.4210526315789135,0.0,1.4769230769232666,0.0,0.0,1.794871794871781,0.0,0.0,4.624390243902411,0.0,0.0,0.0,2.7826086956521667,15.46666666666649,0.0,0.0,19.48717948717964,2.468085106382986,0.0,2.7311522048363677,0.0,0.0,36.521739130435584,0.0,0.3555555555555862,0.0,2.6181818181820966,0.0,2.759581881533054,0.0,0.0,11.636363636364036,0.0,2.2312925170067763,0.0,0.0,2.7826086956521174,0.0,2.285714285714366,0.0,4.004429678848378,2.8282828282828767,0.0,1.496598639455784,0.0,2.759581881532981,3.200000000000159,0.0,0.0,55,174,131,164,129
3,717.7272727272727,1020.92,1296.6744186046512,1584.2444444444443,717.88,1029.9333333333334,2997.32,717.24,1296.5111111111112,3000.44,718.04,1007.0,2995.4,0.0,0.0,0.0,1561.4,0.0,0.0,2403.0,0.0,0.0,0.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2693.0,0.0,0.0,0.0,1287.0,0.0,0.0,0.0,0.0,2696.777777777778,0.0,0.0,1005.7368421052632,0.0,0.0,0.0,2155.0,0.0,2695.0,0.0,742.3333333333334,0.0,1320.7142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1321.6666666666667,1587.0,0.0,2187.0,2456.3333333333335,0.0,0.0,0.0,1030.428571428571,1317.0,0.0,0.0,2187.0,0.0,0.0,0.0,0.0,0.0,1321.0,1581.6666666666667,0.0,0.0,0.0,2727.0,0.0,0.0,1008.6842105263158,0.0,1583.6666666666667,0.0,2185.8571428571427,0.0,2743.0,0.0,136.64653061224476,4.597551020408164,4.654545454545376,8.214616096207175,6.801418439716318,5.224489795918422,7.791304347826058,6.190611664294485,107.59836734693788,139.781224489796,6.2432653061223995,9.780730897009969,7.141843971631422,4.414693877550996,4.414693877550851,4.929078014184311,147.0955102040822,6.35540069686417,129.36489795918288,6.63510204081628,7.712653061224533,4.573737373737332,5.432007400555063,7.288163265306013,6.556734693877688,114.39020408163294,131.76163265306292,158.2040816326538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.142857142856808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.444444444444457,0.0,3.5504978662873548,0.0,0.0,0.0,0.0,0.0,2.6666666666666226,0.0,0.0,0.0,0.0,5.3333333333332575,0.0,0.0,0.0,6.787878787878807,0.0,0.0,0.0,2.285714285714262,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.33333333333303,0.0,0.0,0.0,0.0,0.0,0.0,12.654338549075389,0.0,41.06666666666642,0.0,3.809523809523723,0.0,0.0,6,5,8,10,48
4,736.84,1031.0,1319.0,1628.469387755102,737.08,1030.3513513513512,2999.0,736.92,1318.6521739130435,2999.0,737.16,1028.84,2999.0,0.0,1029.8181818181818,1317.9333333333334,0.0,1922.7894736842104,0.0,2463.5714285714284,0.0,2969.0,0.0,1023.0,0.0,0.0,0.0,0.0,2461.0,0.0,2998.3846153846152,0.0,0.0,0.0,0.0,0.0,0.0,2461.6666666666665,0.0,2998.2631578947367,0.0,1030.2,1311.0,0.0,0.0,2190.0,0.0,2753.122448979592,2998.2,0.0,0.0,0.0,0.0,1922.684210526316,0.0,0.0,0.0,2998.2631578947367,0.0,1042.2631578947369,1319.5263157894738,1687.0,1924.0,0.0,0.0,0.0,3019.0,0.0,1104.3333333333333,0.0,0.0,1971.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,1971.6666666666667,0.0,0.0,0.0,3000.1162790697676,0.0,1105.909090909091,1368.3333333333333,1683.0,1931.0,2191.2051282051284,0.0,2755.1951219512193,2999.9302325581393,0.0,0.0,0.0,0.0,1924.021276595745,0.0,0.0,0.0,3000.1162790697676,0.0,4.0751020408163665,3.1231231231230376,7.582040816326589,1528.842448979595,4.176870748299309,197.02204081632712,6.780141843971623,7.549387755102167,0.0,5.936326530612235,1420.6759183673512,6.328163265306266,568.0914285714299,3.678646934460951,330.97795918367285,6.941720629048139,6.530612244897873,0.0,5.381224489795932,35.09677419354916,6.987439613526605,4.460881934566088,4.448979591836769,0.0,136.88816326530377,0.0,0.0,0.0,4.1522198731505,3.20000000000011,0.8193456614510257,0.0,2.2857142857145174,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2.137651821862351,0.0,0.0,0.0,0.0,0.0,2.4694167852061852,0.0,2.8444444444443944,0.0,0.0,0.0,3.7446808510639062,30.734693877551184,0.0,0.0,0.0,1.1948790896160335,0.0,0.0,0.0,0.0,3.063829787234013,0.0,0.0,44.60606060606075,0.0,0.0,0.0,0.0,0.0,0.0,3.069767441860624,0.0,0.0,0.0,0.0,9.066666666666606,0.0,0.0,0.0,3.295681063122691,0.0,3.4909090909091596,8.727272727272645,0.0,0.7989203778677707,0.0,1.5609756097561325,2.923588039866952,0.0,0.0,0.0,0.0,3.1082331174838265,0.0,0.0,3.29568106312282,136,42,41,148,76
5,742.8947368421053,1045.6976744186047,1332.76,1587.48,743.0,1046.1020408163265,2110.76,743.0,1332.92,3034.76,741.88,1047.2448979591836,3045.468085106383,718.3333333333334,1024.142857142857,0.0,0.0,1876.3333333333333,0.0,0.0,0.0,0.0,742.3488372093024,0.0,0.0,0.0,1902.3488372093025,0.0,2446.6363636363635,0.0,3047.0,742.4285714285714,0.0,0.0,0.0,1902.0204081632653,0.0,2467.8695652173915,0.0,0.0,742.6190476190476,1022.2,0.0,0.0,1902.0,0.0,2470.2820512820513,0.0,0.0,0.0,1023.0,0.0,1593.857142857143,1902.5,2175.0,0.0,0.0,3021.6666666666665,0.0,0.0,0.0,0.0,1927.0,2199.0,0.0,2755.0,0.0,743.6511627906976,1055.0,0.0,0.0,1904.6363636363635,2199.0,0.0,0.0,0.0,743.7272727272727,0.0,0.0,0.0,1903.102564102564,2197.4,2471.4,0.0,0.0,743.695652173913,0.0,0.0,0.0,1903.7179487179487,2195.7272727272725,2473.4186046511627,0.0,0.0,0.0,0.0,0.0,1595.842105263158,1903.1818181818185,0.0,0.0,0.0,0.0,8.168327796234797,0.0,8.843537414965924,7.764897959183588,9.900408163265428,0.0,4.662349676225589,4.361673414305432,8.417959183673812,7.034013605442564,0.0,7.451428571428508,7.471020408163267,4.760816326530889,0.0,5.38181818181812,0.0,6.53061224489827,1525801.4106122444,0.0,5.301010101009864,6.687346938775493,4.760816326530499,0.0,4.037786774628891,0.0,158.96163265305816,8.03700277520898,5.3333333333333295,9.142857142856936,0.0,5.3333333333332575,0.0,0.0,0.0,2.2325581395349365,0.0,0.0,0.0,0.0,7.854545454545668,0.0,0.0,2.0069686411149212,0.0,0.0,3.687074829931968,0.0,0.0,1.4123112659697683,3.2000000000000455,0.0,0.0,3.069767441860401,0.0,0.0,0.0,0.0,3.34494773519149,1.787234042553182,0.0,0.0,0.0,0.0,10.666666666666666,0.0,2.232558139534953,0.0,0.0,0.0,27.027484143762862,0.0,0.0,0.0,0.0,2.4355179704016763,0.0,0.0,0.0,0.4102564102564202,4.799999999999727,1.4769230769231545,0.0,0.0,2.349758454106338,0.0,0.0,3.260458839406122,21.81818181818123,38.96345514950221,0.0,0.0,0.0,0.0,0.0,2.731152204836379,0.7103594080339388,0.0,0.0,0.0,22,98,137,130,95
6,759.72,1057.0408163265306,1285.72,1595.4,750.76,1032.9166666666667,3021.56,0.0,1279.0,3034.5555555555557,759.24,1033.2564102564102,3010.2820512820513,0.0,1035.0,0.0,0.0,1873.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1581.6666666666667,1896.6,0.0,2455.0,2722.3333333333335,0.0,0.0,0.0,0.0,1582.179487179487,1895.0,0.0,0.0,2723.0,0.0,0.0,0.0,1278.4736842105262,1581.7619047619048,0.0,0.0,0.0,2740.641025641026,3010.6363636363635,0.0,0.0,0.0,0.0,1899.0,0.0,0.0,2725.4,0.0,0.0,0.0,0.0,0.0,1921.6666666666667,0.0,0.0,0.0,0.0,0.0,1059.0,0.0,1589.7368421052631,0.0,2219.0,2486.6666666666665,2775.0,0.0,0.0,1055.0,0.0,1587.571428571429,0.0,2217.6666666666665,0.0,2773.0,0.0,152.12,0.0,1283.7111111111112,1585.9473684210527,1923.0,2216.3333333333335,0.0,2749.5263157894738,3057.6666666666665,0.0,1057.1818181818182,0.0,0.0,0.0,2219.0,0.0,2773.6666666666665,3035.7272727272725,4.08163265306128,150.47183673469382,6.120567375886542,178.39020408163273,0.0,6.523076923076853,7.401360544217358,6.030030030030392,7.282392026577979,158.04734693877475,124.89795918367444,6.367346938775545,176.90775510204176,0.0,6.778908418131382,6.4236817761335105,166.06693877551035,4.70243902439023,165.72081632653254,0.0,173.45959183673634,0.0,0.0,9.433854907539216,6.172062904717912,182.6024489795938,6.196825396825395,8.31309041835422,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.491228070175421,0.0,0.0,2.6666666666666847,0.0,0.0,0.0,2.677462887989204,16.0,10.666666666667046,0.0,0.0,0.0,1.877667140825034,4.283391405342793,0.0,0.0,105.86774628879807,0.0,0.0,0.0,0.0,0.0,0.0,12.799999999999727,0.0,6.787878787878906,0.0,0.0,0.0,0.0,126.36130867709754,0.0,0.0,12.96969696969717,0.0,0.0,0.0,0.0,0.0,89.421602787457,0.0,5.333333333333485,0.0,8.0,0.0,95020.59755102042,0.0,55.0782361308677,8.727272727272583,5.333333333333485,0.0,41.01280227596055,85.33333333333394,0.0,7.563636363636348,0.0,0.0,0.0,8.0,0.0,5.818181818181456,3,56,49,170,8
7,734.4,1042.8367346938776,1318.28,1580.36,736.12,1043.65306122449,3026.12,736.12,1307.0,3027.470588235294,737.0,1044.36,2999.32,705.6666666666666,1035.0,0.0,0.0,0.0,2151.0,0.0,2714.1111111111113,2619.0,0.0,1035.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1910.1304347826087,0.0,0.0,0.0,0.0,0.0,0.0,1305.8837209302326,1570.6666666666667,1903.0,2153.0,0.0,0.0,3006.4285714285716,0.0,0.0,0.0,0.0,1910.0204081632653,0.0,0.0,0.0,0.0,758.4285714285714,0.0,0.0,0.0,0.0,2198.1111111111113,0.0,2755.0,3067.0,0.0,0.0,1328.2,0.0,0.0,0.0,2468.1428571428573,0.0,0.0,0.0,0.0,0.0,1595.0,1911.3902439024391,0.0,0.0,0.0,0.0,0.0,0.0,1308.8947368421052,1603.0,0.0,2199.0,0.0,0.0,3053.222222222222,0.0,0.0,0.0,0.0,1911.1,0.0,0.0,0.0,0.0,7.306122448979402,6.556734693877588,7.564625850340064,5.323076923076656,128.88816326530653,6.406530612245312,120.9730612244838,6.112956810631162,145.6391836734698,137.37795918367215,8.496326530612215,8.646530612245074,133.15265306122473,6.538205980066584,0.0,133.10040816326585,113.29959183673697,138.29224489795644,116.43428571428468,6.556734693877537,7.026938775510371,0.0,6.174174174174272,3.5102040816327857,7.548566142460739,148.897959183675,3.650623885917819,110.91591836734707,37.333333333333144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4937198067632513,0.0,0.0,0.0,0.0,3.2956810631229354,10.060606060606109,0.0,8.0,0.0,0.0,0.0,0.0,4.3537414965987775,0.0,0.0,0.0,7.619047619047649,0.0,3.11111111111088,0.0,0.0,7.28888888888894,0.0,0.0,0.0,3.8095238095234105,0.0,0.0,0.0,0.0,0.0,10.666666666666666,1.4439024390244624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.444444444444457,0.0,0.0,0.0,0.0,0.3999999999999572,0.0,0.0,0.0,15,1,46,65,49
8,777.046511627907,1068.5454545454545,1349.8695652173913,1628.84,752.4736842105264,1045.32,3047.8,751.8888888888889,1357.72,3035.0,752.6585365853658,1060.68,3036.1,752.1428571428571,1045.0,0.0,0.0,0.0,0.0,2466.6666666666665,0.0,3011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1925.8,2193.7368421052633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2490.0526315789475,0.0,3034.7894736842104,0.0,0.0,1350.3170731707316,1617.9767441860463,1919.0,2194.2,0.0,0.0,0.0,0.0,0.0,1372.0,0.0,0.0,0.0,2519.0,0.0,3062.2,776.6666666666666,0.0,0.0,0.0,0.0,0.0,2515.7272727272725,2781.285714285714,3062.5,777.0,0.0,1359.0,1642.5,1929.6315789473683,2203.4210526315787,2512.6,0.0,0.0,779.0,1068.5,0.0,1643.8,1951.571428571429,0.0,2493.243902439024,0.0,3039.0833333333335,776.3333333333334,0.0,1353.3636363636365,1619.7179487179487,0.0,2197.6341463414633,2515.6666666666665,0.0,3061.8,6.858350951374277,4.688477951635894,5.936326530612239,7.242448979591801,126.53714285714398,7.418775510204311,294.06693877551146,6.607287449392692,9.16057585825071,5.649245063878966,7.210220673635253,7.242448979591768,6.176870748299293,4.79442508710804,0.0,0.0,6.254545454545418,213.08734693877625,161.95918367346957,4.282828282828358,7.210220673635273,132.85877551020204,6.513131313131438,9.089700996677836,134.85061224489968,0.0,0.0,4.91282051282029,3.809523809523819,4.800000000000137,0.0,0.0,0.0,4.242424242424511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4461538461539285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1184939091914536,0.0,2.6181818181821015,0.0,0.0,0.0,0.0,0.0,10.060606060605986,0.0,0.0,0.0,0.0,0.0,5.818181818181894,95.23809523809564,6.571428571428571,9.14285714285711,0.0,0.0,11.142857142857126,42.61735419630195,203.92603129445249,60.80000000000064,0.0,0.0,0.0,8.85714285714281,3.2000000000000455,7.619047619047557,0.0,32.8390243902448,0.0,79.31205673759054,3.999999999999986,0.0,42.655391120508305,2.41835357624824,0.0,85.28780487804791,11.15151515151532,10.844444444444296,28,0,78,76,131
9,790.44,1107.9795918367347,1441.8333333333333,1611.0,827.0,1108.52,3054.5652173913045,828.2,1373.125,3016.2,827.0,1109.16,3029.4,0.0,1035.0,1323.0,1610.4893617021276,0.0,0.0,2461.0,2799.1052631578946,0.0,826.4545454545455,0.0,0.0,1609.871794871795,1946.7272727272727,2187.0,0.0,2779.0,3029.0,0.0,0.0,1391.0,0.0,1946.8297872340424,2191.0,2461.0,0.0,875.0,0.0,0.0,1322.6666666666667,1610.3846153846157,1947.0,0.0,0.0,0.0,0.0,826.6,0.0,1322.2,0.0,1946.3333333333333,0.0,0.0,2763.0,0.0,0.0,0.0,0.0,1611.2727272727273,0.0,2196.3333333333335,2511.0,2804.3,3058.2,827.5454545454545,0.0,0.0,1612.128205128205,1947.5106382978724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1947.25,0.0,0.0,0.0,0.0,0.0,0.0,1441.6666666666667,1612.090909090909,1947.72,0.0,2483.0,0.0,0.0,827.8695652173913,0.0,1443.0,0.0,1947.7441860465117,0.0,0.0,2826.5,0.0,5.6870748299320795,0.0,7.111836734693885,1164.0424489795882,0.0,0.0,6.258503401360104,175.30775510204612,7.496598639455068,7.31205673758907,5.7534693877553,8.00000000000013,5.414965986394685,6.45877551020414,0.0,6.367346938775705,4.80338266384782,1222.3281632652995,7.273429951690825,6.040816326530587,6.164897959183884,7.209677419354916,0.0,0.0,184.97959183673396,4.2585034013608185,7.346938775510622,96.65306122449292,0.0,0.0,0.0,0.0,0.0,5.333333333333333,0.0,1.9281183932346984,0.0,0.0,3.3252361673413926,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.6660499537465153,0.0,618.6666666666666,0.0,0.0,10.06060606060605,2.137651821862347,0.0,0.0,0.0,1.476923076923072,0.0,0.0,2.2764227642276897,0.0,0.0,512.0,0.0,0.0,261.3333333333344,1.9281183932347952,0.0,0.0,3.325236167341551,1.8205365402405116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9574468085105816,0.0,0.0,0.0,0.0,0.0,0.0,3.991543340380262,2.4097959183673714,0.0,0.0,0.0,0.0,2.782608695652296,0.0,0.0,0.0,2.4806201550387943,0.0,0.0,0.0,92,131,59,92,94
10,779.8,1074.44,1368.84,1628.2682926829268,795.0,1081.72,3075.0,771.56,1365.72,3052.2,771.9795918367347,1083.0,3051.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,770.2,0.0,1315.0,0.0,0.0,0.0,2501.8837209302324,0.0,3075.0,0.0,1082.076923076923,0.0,0.0,1935.0,0.0,0.0,0.0,2976.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3031.0,0.0,1081.8444444444444,0.0,0.0,1942.4893617021276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1655.4444444444443,0.0,0.0,0.0,2792.3333333333335,0.0,0.0,0.0,0.0,1628.6,0.0,0.0,2504.0232558139537,0.0,3075.4,797.0,1084.142857142857,0.0,0.0,0.0,0.0,0.0,0.0,3075.425531914894,0.0,0.0,0.0,0.0,0.0,0.0,2520.777777777778,0.0,3079.0,799.0,1083.5263157894738,0.0,1631.0,1943.3555555555556,0.0,0.0,2783.0,0.0,133.88408163265203,3.2820512820513854,7.471020408163334,421.5918367346938,5.3818181818181525,4.316734693877657,169.01877551020496,0.0,4.075102040816087,0.0,10.099290780141889,0.0,5.067755102040691,169.95918367346442,3.5102040816325935,6.667755102040156,153.4693877551056,4.414693877550925,0.0,7.190204081632643,7.18367346938798,5.511836734693723,179.3371428571432,3.1412244897959885,4.708571428571496,4.897560975609306,8.369230769231027,7.183673469387781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.511111111111155,0.0,0.0,0.0,0.0,14.724252491694534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212563.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.088888888888946,0.0,2.5161887141536083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7999999999999545,0.0,0.0,10.737541528238634,0.0,1.4693877551020254,8.0,4.12543554006958,0.0,0.0,0.0,0.0,0.0,0.0,1.5541165587415642,0.0,0.0,0.0,0.0,0.0,156.44444444444449,0.0,8.000000000000485,0.0,1.8776671408251069,0.0,16.0,2.0525252525253097,0.0,0.0,0.0,0,99,85,1,92
