23_16800_mean_middle,23_6000_mean_middle,18_16800_mean_middle,23_10000_mean_middle,28_16800_mean_middle,18_3000_mean_middle,13_6000_mean_middle,13_3000_mean_middle,13_10000_mean_middle,53_6000_mean_middle,53_8000_mean_middle,18_10000_mean_middle,53_10000_mean_middle,53_3000_mean_middle,33_16800_mean_middle,13_16800_mean_middle,53_16800_mean_middle,43_8000_mean_middle,18_6000_mean_upper,38_3000_mean_upper,28_8000_mean_upper,38_8000_mean_middle,23_6000_mean_upper,13_3000_mean_upper,28_6000_mean_upper,13_6000_mean_lower,13_6000_mean_upper,18_6000_mean_lower,23_10000_mean_upper,33_8000_mean_upper,13_10000_mean_upper,43_8000_mean_upper,18_10000_mean_lower,33_3000_mean_upper,33_6000_mean_upper,23_8000_mean_upper,43_6000_mean_upper,23_6000_mean_lower,43_3000_mean_upper,28_16800_mean_lower,13_8000_mean_upper,18_3000_mean_upper,28_10000_mean_upper,38_8000_mean_upper,33_10000_mean_upper,13_10000_mean_lower,18_8000_mean_upper,18_3000_mean_lower,18_10000_mean_upper,28_3000_mean_upper,Sensor ID
1302.076923076923,1328.2,1069.2857142857142,1303.0,1590.3846153846157,1069.24,827.0,827.0,827.0,2995.2051282051284,2995.0,1071.0,2995.0,2995.0,1959.0,827.0,3006.5,2443.88,0.0,0.0,1597.046511627907,2248.12,0.0,827.0952380952381,1595.5333333333333,826.36,827.0,0.0,1315.7,1959.8979591836733,827.0,0.0,1070.04,1959.923076923077,1960.0731707317077,1354.2727272727273,0.0,0.0,0.0,0.0,827.0909090909091,0.0,1592.6190476190477,0.0,1960.021276595745,826.52,1079.0,0.0,1071.0,0.0,1
1247.56,1235.0,954.2,1235.0,1522.92,967.2608695652174,679.0,679.0,679.64,2951.0,1891.24,943.0,2972.36,2945.8,1811.3636363636365,679.0,1855.878048780488,2381.16,0.0,2123.8,1539.0,2117.72,1235.9795918367347,679.8888888888889,0.0,678.9047619047619,679.6530612244898,0.0,1235.5,1839.857142857143,0.0,0.0,942.1666666666666,1839.857142857143,1839.8695652173917,1235.8,2398.428571428572,1234.8947368421052,2395.0,0.0,679.0888888888888,975.0,0.0,0.0,1839.842105263158,0.0,0.0,943.0,944.0,0.0,2
1296.6744186046512,1296.5111111111112,1020.92,1297.212765957447,1584.2444444444443,1007.0,717.24,718.04,717.88,3000.44,2997.32,1029.9333333333334,2996.12,2995.4,1888.6,717.7272727272727,2992.84,2440.92,0.0,2185.8571428571427,0.0,2163.9166666666665,1321.0,0.0,1581.6666666666667,0.0,0.0,0.0,1321.6666666666667,0.0,0.0,0.0,1007.0,0.0,0.0,1317.0,0.0,1287.0,0.0,1561.4,0.0,1008.6842105263158,1587.0,2187.0,0.0,0.0,1030.428571428571,1005.7368421052632,0.0,1583.6666666666667,3
1319.0,1318.6521739130435,1031.0,1317.64,1628.469387755102,1028.84,736.92,737.16,737.08,2999.0,2999.0,1030.3513513513512,2999.0,2999.0,1923.0,736.84,2999.608695652174,2486.404255319149,1105.909090909091,0.0,0.0,2224.04,1368.3333333333333,0.0,1683.0,0.0,0.0,1030.2,0.0,1971.6666666666667,0.0,0.0,1023.0,1924.021276595745,1931.0,0.0,0.0,1311.0,0.0,0.0,0.0,0.0,0.0,0.0,1971.0,0.0,0.0,0.0,1104.3333333333333,0.0,4
1332.76,1332.92,1045.6976744186047,1333.48,1587.48,1047.2448979591836,743.0,741.88,743.0,3034.76,2110.76,1046.1020408163265,3073.612244897959,3045.468085106383,1902.441860465116,742.8947368421053,3058.44,2471.0,0.0,0.0,0.0,2173.4,0.0,0.0,0.0,742.6190476190476,743.695652173913,1022.2,0.0,1903.102564102564,743.6511627906976,2471.4,0.0,1903.1818181818185,1903.7179487179487,0.0,2473.4186046511627,0.0,0.0,0.0,743.7272727272727,0.0,0.0,2197.4,1904.636363636364,742.3488372093024,0.0,1023.0,1055.0,1595.842105263158,5
1285.72,1279.0,1057.0408163265306,1289.24,1595.4,1033.2564102564102,0.0,759.24,750.76,3034.555555555556,3021.56,1032.9166666666667,3018.44,3010.2820512820517,1896.6666666666667,759.72,3027.4,2471.88,0.0,2219.0,1587.571428571429,2191.425531914894,1283.7111111111112,0.0,1585.9473684210527,0.0,152.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1923.0,0.0,0.0,1278.4736842105262,0.0,0.0,0.0,1057.1818181818182,1589.7368421052631,2217.6666666666665,0.0,0.0,1055.0,0.0,1059.0,0.0,6
1318.28,1307.0,1042.8367346938776,1306.1,1580.36,1044.36,736.12,737.0,736.12,3027.470588235294,3026.12,1043.65306122449,3030.36,2999.32,1895.32,734.4,2836.583333333333,2454.92,0.0,0.0,1595.0,2181.96,1308.8947368421052,0.0,1603.0,0.0,0.0,0.0,1328.2,1911.3902439024391,0.0,0.0,1035.0,1911.1,0.0,0.0,0.0,1305.8837209302326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
1349.8695652173913,1357.72,1068.5454545454545,1348.68,1628.84,1060.68,751.8888888888889,752.6585365853658,752.4736842105264,3035.0,3047.8,1045.32,3036.904761904762,3036.1,1918.52,777.046511627907,3036.428571428572,2490.2,1068.5,2197.6341463414637,1642.5,2195.0,0.0,776.3333333333334,1643.8,0.0,779.0,0.0,0.0,1929.6315789473683,776.6666666666666,2512.6,0.0,0.0,1951.571428571429,1359.0,2493.243902439024,0.0,2515.6666666666665,0.0,777.0,0.0,0.0,2203.4210526315787,0.0,0.0,0.0,0.0,0.0,1619.7179487179487,8
1441.8333333333333,1373.125,1107.9795918367347,1412.28,1611.0,1109.16,828.2,827.0,827.0,3016.2,3054.5652173913045,1108.52,3056.583333333333,3029.4,1949.4,790.44,2757.488888888889,2484.818181818182,0.0,0.0,0.0,2213.612244897959,1441.6666666666667,827.8695652173913,1612.090909090909,0.0,0.0,0.0,0.0,1947.25,827.5454545454545,0.0,0.0,1947.744186046512,1947.72,0.0,2483.0,1322.6666666666667,0.0,1610.4893617021276,0.0,0.0,1612.128205128205,0.0,1947.5106382978724,826.4545454545455,0.0,0.0,0.0,0.0,9
1368.84,1365.72,1074.44,1373.6938775510205,1628.2682926829268,1083.0,771.56,771.9795918367347,795.0,3052.2,3075.0,1081.72,3075.0,3051.8,1934.2,779.8,3078.68,2516.6,0.0,0.0,0.0,2208.84,0.0,799.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1943.355555555556,0.0,0.0,2520.777777777778,0.0,0.0,0.0,797.0,1083.5263157894738,1628.6,0.0,0.0,770.2,1084.142857142857,1081.8444444444444,0.0,1631.0,10
