,23_6000_mean_middle,23_16800_mean_middle,18_3000_mean_middle,18_16800_mean_middle,23_10000_mean_middle,13_6000_mean_middle,18_6000_mean_middle,13_3000_mean_middle,18_8000_mean_middle,13_10000_mean_middle,Sensor ID
0,1328.2,1302.076923076923,1069.24,1069.2857142857142,1303.0,827.0,1069.4,827.0,1069.6122448979593,827.0,1
1,1235.0,1247.56,967.2608695652174,954.2,1235.0,679.0,954.52,679.0,955.56,679.64,2
2,1296.5111111111112,1296.6744186046512,1007.0,1020.92,1297.212765957447,717.24,1005.96,718.04,1006.0697674418604,717.88,3
3,1318.6521739130435,1319.0,1028.84,1031.0,1317.64,736.92,1087.0,737.16,1063.24,737.08,4
4,1332.92,1332.76,1047.2448979591836,1045.6976744186047,1333.48,743.0,1046.2888888888888,741.88,1047.24,743.0,5
5,1279.0,1285.72,1033.2564102564102,1057.0408163265306,1289.24,0.0,1044.36,759.24,1032.3877551020407,750.76,6
6,1307.0,1318.28,1044.36,1042.8367346938776,1306.1,736.12,1044.44,737.0,1045.08,736.12,7
7,1357.72,1349.8695652173913,1060.68,1068.5454545454545,1348.68,751.8888888888889,1045.095238095238,752.6585365853658,1045.32,752.4736842105264,8
8,1373.125,1441.8333333333333,1109.16,1107.9795918367347,1412.28,828.2,1108.28,827.0,1108.2,827.0,9
9,1365.72,1368.84,1083.0,1074.44,1373.6938775510205,771.56,1081.4,771.9795918367347,1083.0,795.0,10
10,1347.0,1345.4285714285713,1066.12,1082.36,1344.4736842105262,749.64,1090.2,776.52,1063.4166666666667,749.48,11
11,1329.8,1314.68,1043.8333333333333,1037.0,1329.530612244898,755.0,1044.04,754.52,1043.0,754.5918367346939,12
12,1328.6,1328.04,1035.0,1035.0,1329.16,720.0526315789474,1035.0,745.7272727272727,1033.56,719.6086956521739,13
13,1311.0,1310.52,1024.04,1023.0,1318.84,733.24,1023.0,733.16,1023.56,733.32,14
14,1303.96,1303.3809523809523,1042.265306122449,1043.0,1303.6530612244899,751.0,1043.0,750.1304347826087,1045.0408163265306,751.0,15
15,1353.56,1361.3,1057.938775510204,1069.48,1352.44,788.2,1068.12,763.0930232558139,1058.4,780.92,16
16,1309.4,1319.24,1018.28,1023.0,1307.0,732.68,1018.04,731.96,1020.92,733.0,17
17,1313.96,1319.32,1023.2553191489362,1034.44,1306.9,729.72,1031.16,729.8571428571429,1022.3191489361702,730.28,18
18,1319.0,1319.936170212766,1035.0,1033.8936170212767,1319.0,734.52,1035.0,729.56,1036.44,743.0,19
