23_16800_mean_middle,23_6000_mean_middle,18_16800_mean_middle,23_10000_mean_middle,28_16800_mean_middle,18_3000_mean_middle,13_6000_mean_middle,13_3000_mean_middle,13_10000_mean_middle,53_6000_mean_middle,Sensor ID
1302.076923076923,1328.2,1069.2857142857142,1303.0,1590.3846153846157,1069.24,827.0,827.0,827.0,2995.2051282051284,1
1247.56,1235.0,954.2,1235.0,1522.92,967.2608695652174,679.0,679.0,679.64,2951.0,2
1296.6744186046512,1296.5111111111112,1020.92,1297.212765957447,1584.2444444444443,1007.0,717.24,718.04,717.88,3000.44,3
1319.0,1318.6521739130435,1031.0,1317.64,1628.469387755102,1028.84,736.92,737.16,737.08,2999.0,4
1332.76,1332.92,1045.6976744186047,1333.48,1587.48,1047.2448979591836,743.0,741.88,743.0,3034.76,5
1285.72,1279.0,1057.0408163265306,1289.24,1595.4,1033.2564102564102,0.0,759.24,750.76,3034.555555555556,6
1318.28,1307.0,1042.8367346938776,1306.1,1580.36,1044.36,736.12,737.0,736.12,3027.470588235294,7
1349.8695652173913,1357.72,1068.5454545454545,1348.68,1628.84,1060.68,751.8888888888889,752.6585365853658,752.4736842105264,3035.0,8
1441.8333333333333,1373.125,1107.9795918367347,1412.28,1611.0,1109.16,828.2,827.0,827.0,3016.2,9
1368.84,1365.72,1074.44,1373.6938775510205,1628.2682926829268,1083.0,771.56,771.9795918367347,795.0,3052.2,10
1345.428571428571,1347.0,1082.36,1344.4736842105262,1611.977777777778,1066.12,749.64,776.52,749.48,3046.28,11
1314.68,1329.8,1037.0,1329.530612244898,1585.48,1043.8333333333333,755.0,754.52,754.5918367346939,3032.0731707317077,12
1328.04,1328.6,1035.0,1329.16,1598.28,1035.0,720.0526315789474,745.7272727272727,719.6086956521739,3035.0,13
1310.52,1311.0,1023.0,1318.84,1579.96,1024.04,733.24,733.16,733.32,3014.92,14
1303.3809523809523,1303.96,1043.0,1303.65306122449,1592.1914893617022,1042.265306122449,751.0,750.1304347826087,751.0,3029.8571428571427,15
1361.3,1353.56,1069.48,1352.44,1630.7837837837835,1057.938775510204,788.2,763.0930232558139,780.92,3035.818181818182,16
1319.24,1309.4,1023.0,1307.0,1572.84,1018.28,732.68,731.96,733.0,3025.0,17
1319.32,1313.96,1034.44,1306.9,1580.84,1023.2553191489362,729.72,729.8571428571429,730.28,3027.0,18
1319.936170212766,1319.0,1033.893617021277,1319.0,1579.0,1035.0,734.52,729.56,743.0,3029.32,19
1049.88,1332.04,706.12,1332.0434782608695,396.1707317073171,1021.32,680.3877551020408,680.3913043478261,681.48,3031.0,20
